id,symbol,execution,quantity,type,commission,date,order,status,match
4,NKE,77,1,BUY,0,2018-07-11,Limit,Open,NA
3,SGH,30,1,BUY,0,2018-07-11,Limit,Open,NA
1,MSFT,102,1,BUY,0,2018-07-10,Filled,Open,NA
2,BABA,192.5,1,BUY,0,2018-07-10,Filled,Open,NA
