Trade.Time,Last,Change,X..Change,Open,High,Low,Volume,symbol
2018-07-11T15:32:36Z,77.51,-0.05999756,-0.07734635,77.13,77.6101,76.83,1202777,NKE
2018-07-11T15:31:43Z,30.75,-1.0200005,-3.2105775,31.56,31.655,30.6538,256251,SGH
2018-07-11T15:32:41Z,101.855,-0.2649994,-0.25949803,101.15,102.34,101.1,6680829,MSFT
2018-07-11T15:32:41Z,188.38,-4.169998,-2.1656704,188.6,190.05,188.06,7455857,BABA
